tconst	averageRating	numVotes
tt7913694	5.2	8
tt5528112	7.0	9
tt5528116	6.2	15
tt15144598	8.5	9
tt4970038	5.5	713
tt13612648	5.2	22
tt10274962	6.6	16
tt14063960	8.3	34
tt13298522	5.3	8
tt6675966	5.2	11
tt7205264	6.4	1382
tt4327866	8.2	10
tt8785666	8.3	3360
tt6661312	7.5	22
tt6661318	8.0	10
tt9854058	7.5	219
tt6675944	4.9	12
tt7205208	7.1	2237
tt10695638	5.5	557
tt6675918	5.7	12
tt16227502	5.9	7
tt8482122	6.5	106
tt10998942	6.3	7
tt10998934	6.8	7
tt10998936	7.6	6
tt10998950	6.9	8
tt10984310	7.7	7
tt5239494	7.0	2200
tt6950466	8.5	88
tt4024312	8.1	7
tt6964976	6.0	15
tt15012754	7.1	148
tt15012756	7.1	156
tt5881810	6.9	8
tt10260268	7.4	49
tt13298358	8.2	184
tt5592878	6.4	11604
tt13298370	8.2	163
tt13298362	8.6	177
tt11107408	9.7	7
tt13298366	8.2	163
tt5592884	8.4	5
tt8653866	9.4	7
tt6950314	9.1	10
tt6661394	6.7	55
tt6964940	6.6	4205
tt8785496	7.8	14
tt9301782	7.4	41
tt10984482	7.0	66
tt2203800	7.6	52
tt12372366	7.5	42
tt10695480	9.6	78
tt6661368	5.1	116
tt7690340	5.7	485
tt7508730	8.0	2114
tt6661370	8.2	7
tt7690328	5.5	51
tt11646970	4.4	236
tt7508754	8.3	1784
tt8653820	2.4	30
tt10695464	5.7	1315
tt1727254	4.1	263
tt7508750	8.5	2329
tt7508752	7.6	1533
tt7508744	7.9	1642
tt6661350	7.4	237
tt7508746	8.4	2214
tt10695450	9.7	121
tt10695452	9.3	70
tt10695446	9.7	118
tt5881818	5.9	9
tt12661314	5.9	207
tt9433598	8.0	361
tt13034876	6.0	14
tt8364842	7.5	121
tt6240706	7.0	6
tt8810988	8.6	54
tt7508714	7.7	1680
tt11764184	5.4	15
tt11764186	6.0	13
tt11107472	5.1	653
tt7508706	7.8	2288
tt9090204	6.1	11
tt6004846	7.7	7
tt6004848	7.4	651
tt9736976	4.9	207
tt9736978	7.0	20
tt11921334	8.5	178
tt15736974	5.0	5
tt8810942	7.4	10
tt8810948	9.0	25
tt13298382	7.5	180
tt13298374	8.5	167
tt13298376	7.8	170
tt13298390	6.5	199
tt13298392	6.9	227
tt15736962	5.9	7
tt13298384	7.0	188
tt13298388	7.3	185
tt6372590	9.6	5
tt13152062	9.1	5915
tt8496672	6.3	13
tt6793186	5.3	36
tt6793180	3.6	206
tt8496648	6.6	13
tt13152042	8.7	5378
tt13152032	8.3	5587
tt13152036	7.2	17
tt11460976	5.2	1768
tt8075986	6.7	21
tt8075988	8.7	10
tt15301676	6.3	1161
tt9090318	6.8	9
tt8785514	6.8	96
tt6793140	3.8	6
tt13020336	6.0	24
tt8942790	7.1	38
tt8942794	7.7	39
tt8061332	6.1	20
